Date,Close
"Oct 22, 2013",1.2724
"Oct 21, 2013",1.2725
"Oct 18, 2013",1.2717
"Oct 17, 2013",1.2710
"Oct 16, 2013",1.2711
"Oct 15, 2013",1.2703
"Oct 14, 2013",1.2699
"Oct 11, 2013",1.2667
"Oct 10, 2013",1.2682
"Oct 09, 2013",1.2670
"Oct 08, 2013",1.2670
"Oct 07, 2013",1.2671
"Oct 04, 2013",1.2672
"Oct 03, 2013",1.2665
"Oct 02, 2013",1.2670
"Oct 01, 2013",1.2672
"Sep 30, 2013",1.2670
"Sep 27, 2013",1.2673
"Sep 26, 2013",1.2667
"Sep 25, 2013",1.2668
"Sep 24, 2013",1.2668
"Sep 23, 2013",1.2669
"Sep 20, 2013",1.2669
"Sep 19, 2013",1.2667
"Sep 18, 2013",1.2666
"Sep 17, 2013",1.2667
"Sep 16, 2013",1.2670
"Sep 13, 2013",1.2672
"Sep 12, 2013",1.2677
"Sep 11, 2013",1.2673
"Sep 10, 2013",1.2673
"Sep 09, 2013",1.2670
"Sep 06, 2013",1.2669
"Sep 05, 2013",1.2672
"Sep 04, 2013",1.2672
"Sep 03, 2013",1.2671
"Sep 02, 2013",1.2672
"Aug 30, 2013",1.2677
"Aug 29, 2013",1.2667
"Aug 28, 2013",1.2665
"Aug 27, 2013",1.2670
"Aug 26, 2013",1.2671
"Aug 23, 2013",1.2671
"Aug 22, 2013",1.2670
"Aug 21, 2013",1.2665
"Aug 20, 2013",1.2664
"Aug 19, 2013",1.2665
"Aug 16, 2013",1.2677
"Aug 15, 2013",1.2691
"Aug 14, 2013",1.2672
"Aug 13, 2013",1.2668
"Aug 12, 2013",1.2666
"Aug 09, 2013",1.2668
"Aug 08, 2013",1.2672
"Aug 07, 2013",1.2676
"Aug 06, 2013",1.2667
"Aug 05, 2013",1.2668
"Aug 02, 2013",1.2655
"Aug 01, 2013",1.2652
"Jul 31, 2013",1.2654
"Jul 30, 2013",1.2655
"Jul 29, 2013",1.2650
"Jul 26, 2013",1.2655
"Jul 25, 2013",1.2643
"Jul 24, 2013",1.2636
"Jul 23, 2013",1.2639
"Jul 22, 2013",1.2632
"Jul 19, 2013",1.2640
"Jul 18, 2013",1.2634
"Jul 17, 2013",1.2639
"Jul 16, 2013",1.2644
"Jul 15, 2013",1.2644
"Jul 12, 2013",1.2639
"Jul 11, 2013",1.2638
"Jul 10, 2013",1.2638
"Jul 09, 2013",1.2651
"Jul 08, 2013",1.2640
"Jul 05, 2013",1.2649
"Jul 04, 2013",1.2658
"Jul 03, 2013",1.2649
"Jul 02, 2013",1.2644
"Jul 01, 2013",1.2646
"Jun 28, 2013",1.2632
"Jun 27, 2013",1.2615
"Jun 26, 2013",1.2624
"Jun 25, 2013",1.2626
"Jun 24, 2013",1.2632
"Jun 21, 2013",1.2648
"Jun 20, 2013",1.2650
"Jun 19, 2013",1.2663
"Jun 18, 2013",1.2659
"Jun 17, 2013",1.2671
"Jun 14, 2013",1.2655
"Jun 13, 2013",1.2652
"Jun 12, 2013",1.2657
"Jun 11, 2013",1.2662
"Jun 10, 2013",1.2660
"Jun 07, 2013",1.2652
"Jun 06, 2013",1.2648
"Jun 05, 2013",1.2666
"Jun 04, 2013",1.2658
"Jun 03, 2013",1.2661
"May 31, 2013",1.2652
"May 30, 2013",1.2665
"May 29, 2013",1.2673
"May 28, 2013",1.2678
"May 27, 2013",1.2687
"May 24, 2013",1.2659
"May 23, 2013",1.2648
"May 22, 2013",1.2654
"May 21, 2013",1.2650
"May 20, 2013",1.2648
"May 17, 2013",1.2647
"May 16, 2013",1.2625
"May 15, 2013",1.2628
"May 14, 2013",1.2635
"May 13, 2013",1.2624
"May 10, 2013",1.2642
"May 09, 2013",1.2652
"May 08, 2013",1.2669
"May 07, 2013",1.2610
"May 06, 2013",1.2581
"May 03, 2013",1.2605
"May 02, 2013",1.2606
"May 01, 2013",1.2586
"Apr 30, 2013",1.2586
"Apr 29, 2013",1.2589
"Apr 26, 2013",1.2592
"Apr 25, 2013",1.2580
"Apr 24, 2013",1.2565
"Apr 23, 2013",1.2567
"Apr 22, 2013",1.2554
"Apr 19, 2013",1.2565
"Apr 18, 2013",1.2499
"Apr 17, 2013",1.2575
"Apr 16, 2013",1.2555
"Apr 15, 2013",1.2547
"Apr 12, 2013",1.2533
"Apr 11, 2013",1.2530
"Apr 10, 2013",1.2525
"Apr 09, 2013",1.2517
"Apr 08, 2013",1.2523
"Apr 05, 2013",1.2521
"Apr 04, 2013",1.2518
"Apr 03, 2013",1.2517
"Apr 02, 2013",1.2522
"Apr 01, 2013",1.2530
"Mar 29, 2013",1.2495
"Mar 28, 2013",1.2491
"Mar 27, 2013",1.2488
"Mar 26, 2013",1.2494
"Mar 25, 2013",1.2498
"Mar 22, 2013",1.2496
"Mar 21, 2013",1.2492
"Mar 20, 2013",1.2494
"Mar 19, 2013",1.2491
"Mar 18, 2013",1.2486
"Mar 15, 2013",1.2492
"Mar 14, 2013",1.2481
"Mar 13, 2013",1.2484
"Mar 12, 2013",1.2481
"Mar 11, 2013",1.2477
"Mar 08, 2013",1.2485
"Mar 07, 2013",1.2466
"Mar 06, 2013",1.2470
"Mar 05, 2013",1.2468
"Mar 04, 2013",1.2459
"Mar 01, 2013",1.2463
"Feb 28, 2013",1.2461
"Feb 27, 2013",1.2459
"Feb 26, 2013",1.2456
"Feb 25, 2013",1.2452
"Feb 22, 2013",1.2445
"Feb 21, 2013",1.2430
"Feb 20, 2013",1.2427
"Feb 19, 2013",1.2422
"Feb 18, 2013",1.2413
"Feb 15, 2013",1.2444
"Feb 14, 2013",1.2437
"Feb 13, 2013",1.2443
"Feb 12, 2013",1.2443
"Feb 11, 2013",1.2438
"Feb 08, 2013",1.2442
"Feb 07, 2013",1.2438
"Feb 06, 2013",1.2448
"Feb 05, 2013",1.2454
"Feb 04, 2013",1.2443
"Feb 01, 2013",1.2453
"Jan 31, 2013",1.2470
"Jan 30, 2013",1.2470
"Jan 29, 2013",1.2468
"Jan 28, 2013",1.2465
"Jan 25, 2013",1.2464
